r.squared_all	adj.r.squared_all	r.squared_missing	adj.r.squared_missing	run_ID
0.36681838754512947	0.3667573638739213	0.3508610219483084	0.3507837710881333	oct1_sm73_random20_1
0.35972930865702646	0.35966760176695867	0.33741340434653777	0.3373342989745638	oct1_sm73_random20_2
0.35347693999237567	0.35341463052244426	0.3332585769675258	0.3331790325362407	oct1_sm73_random20_3
0.3600295037173886	0.3599678257589959	0.34411278177819304	0.3440344668864651	oct1_sm73_random20_4
0.35325399406565006	0.3531916631090256	0.3340764344640953	0.3339972521138532	oct1_sm73_random20_5
0.4378247161754144	0.4377705358280912	0.40184839257777905	0.4017549167835265	oct1_sm73_random40_1
0.4373631140050547	0.437308889170244	0.4054840737881715	0.40539093327020015	oct1_sm73_random40_2
0.4410204471933675	0.4409665748386251	0.41267564051921113	0.41258378497346815	oct1_sm73_random40_3
0.4330109839690749	0.4329563396922792	0.4073669126483034	0.4072744437627749	oct1_sm73_random40_4
0.44357228520538816	0.4435186587872313	0.4153662345592192	0.415275084923198	oct1_sm73_random40_5
0.6192183801664404	0.619181681860751	0.5644474007539401	0.5643376897717622	oct1_sm73_random60_1
0.6190753840050934	0.6190386719179697	0.5784274274459241	0.5783215578897829	oct1_sm73_random60_2
0.6185085944141729	0.6184718277019923	0.5530338505088513	0.5529200897174309	oct1_sm73_random60_3
0.620127209281902	0.6200905985657572	0.5584923282078682	0.5583811732048993	oct1_sm73_random60_4
0.6197980316342673	0.6197613891932143	0.568834130020845	0.5687261225383853	oct1_sm73_random60_5
0.6376584637336647	0.6376235426141326	0.5982437529907461	0.5980423714132979	oct1_sm73_random80_1
0.6402549681888808	0.6402202973107186	0.5714745769976219	0.5712581500163076	oct1_sm73_random80_2
0.6393057875453894	0.63927102518875345	0.5775804035752996	0.5773689823558679	oct1_sm73_random80_3
0.6399387708355039	0.6399040694834255	0.596950209802162	0.5967455120925642	oct1_sm73_random80_4
0.6387701411897754	0.6387353272095508	0.6109707996701859	0.6107764793903008	oct1_sm73_random80_5
0.4407224426720581	0.4406685415967566	0.4071612921629692	0.40707253056574855	oct1_sm73_choice1_1
0.4446310314599683	0.44457750707980825	0.4129221320433291	0.41283423297640953	oct1_sm73_choice1_2
0.4286075145641708	0.4285524458974942	0.3960352579645012	0.39594483054392393	oct1_sm73_choice1_3
0.4498747947997583	0.44982177579386007	0.41776391650678857	0.4176767423664242	oct1_sm73_choice1_4
0.4434658925944244	0.4434122559225464	0.41377583290663966	0.4136880616583849	oct1_sm73_choice1_5
0.46119604086489174	0.4611441129582673	0.4415936641048184	0.4415052807024925	oct1_sm73_choice40_1
0.48304141275712353	0.482991590225585	0.4529879009444435	0.4529009079261459	oct1_sm73_choice40_2
0.4797361968099588	0.4796860557340923	0.4504785492789817	0.45039121274835214	oct1_sm73_choice40_3
0.4873405566113196	0.4872911484151564	0.47376401552831304	0.4736803665083684	oct1_sm73_choice40_4
0.4851077978188176	0.4850581744377283	0.4611817588770209	0.461096529797438	oct1_sm73_choice40_5
0.6017745234668445	0.6017361439876103	0.5670362879109975	0.5669350098496901	oct1_sm73_choice60_1
0.6080846851187804	0.6080469137892814	0.5775616153353352	0.5774619130968022	oct1_sm73_choice60_2
0.6036617757640984	0.603623578171169	0.5705347037264944	0.5704334386248029	oct1_sm73_choice60_3
0.6135078248891469	0.6134705762215379	0.598524798096457	0.5984299539665483	oct1_sm73_choice60_4
0.6149861433383597	0.6149490371455433	0.5871084698681414	0.5870112273975497	oct1_sm73_choice60_5
0.6402649076311814	0.6402302377109453	0.6729320905554702	0.6727756735734307	oct1_sm73_choice80_1
0.6420365942503685	0.6420020950786501	0.6942827009001492	0.6941323234780636	oct1_sm73_choice80_2
0.6405464622159823	0.6405118194309222	0.6671450588439457	0.666982373144456	oct1_sm73_choice80_3
0.642317388669051	0.6422829165592465	0.6955874924035099	0.6954384167386733	oct1_sm73_choice80_4
0.6423405052486653	0.6423060353667501	0.706132647867942	0.705989507413908	oct1_sm73_choice80_5
