blosum_score	nu_mean	nu_sd	n
-8	1.33469785	0.04073347993020368	2028
-7	1.2673320525	0.060493087551162505	676
-6	0.308078438	0.027758543908175937	68
-5	0.308078438	0.027758543908175937	1123
-4	0.308078438	0.027758543908175937	2374
-3	-0.1385071915	0.0292651164674022	2752
-2	-0.46345371825	0.03156877508100997	2440
-1	-0.67892432675	0.037528248803362065	1998
0	-0.8196531205	0.05096369414382827	1006
1	-0.89448083575	0.047969671728574595	688
2	-0.89448083575	0.047969671728574595	226
3	-0.89448083575	0.047969671728574595	169
5	0	0	676
