blosum_score	nu_mean	nu_sd	n
-8	0.0047923247150375	0.020662039977431462	2028
-7	0.0044665339014	0.0385237318351955	676
-6	0.00877533752787775	0.015894061573108527	68
-5	0.00877533752787775	0.015894061573108527	1123
-4	0.00877533752787775	0.015894061573108527	2374
-3	0.00701308907465	0.0178334501232662	2752
-2	0.01160665582590525	0.019020670188086147	2440
-1	-0.012419421172352	0.021442503796794344	1998
0	-0.0354013387092725	0.031964055345383297	1006
1	-0.028822529843775	0.029665507665908142	688
2	-0.028822529843775	0.029665507665908142	226
3	-0.028822529843775	0.029665507665908142	169
5	0	0	676
