blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	53
-6	FALSE	-0.459768552	0.07150223256175729	11
-5	FALSE	-0.459768552	0.07150223256175729	118
-4	FALSE	-0.35394719375	0.05555914016073377	185
-3	FALSE	-0.16205779135	0.045350136351457196	242
-2	FALSE	0.063426966240075	0.05759060930669765	177
-1	FALSE	0.32664877925	0.06395297730905647	149
0	FALSE	0.4458951	0.08636083886598664	79
1	FALSE	1.005348059	0.13412829974956048	47
2	FALSE	1.178157855	0.2678187071701304	14
3	FALSE	0.428319851908	0.24643197236229578	12
