blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-1.582816235	0.1852198165046907	34
-5	FALSE	-1.582816235	0.1852198165046907	466
-4	FALSE	-0.9153481385	0.12520318420101717	913
-3	FALSE	-0.74856863675	0.11040752018417996	1167
-2	FALSE	0.13245323730675	0.12832899719190963	969
-1	FALSE	0.34500412569575	0.1719116550105507	750
0	FALSE	2.1734303075	0.23077886635677816	391
1	FALSE	2.8125539525	0.3135085713707577	259
2	FALSE	2.8591581225	0.4592052212000037	108
3	FALSE	3.59600963	0.5677712761030229	63
5	FALSE	0	0	273
