fdr	TP	FN	FP	TN	FDR	Power	model
0	0	0.6988412228796844	0	0.3011587771203156	NA	0	1
0.001	0.6394847140039448	0.05935650887573964	0.0016642011834319527	0.2994945759368836	0.0025956546817919634	0.915064385253131	1
0.002	0.6536612426035503	0.045179980276134124	0.0025887573964497044	0.2985700197238659	0.0039447731755424065	0.9353501499382607	1
0.003	0.661612426035503	0.03722879684418146	0.0033900394477317554	0.2977687376725838	0.005097784780795254	0.9467278179573116	1
0.004	0.6662352071005917	0.0326060157790927	0.0040680473372781065	0.29709072978303747	0.00606896551724138	0.9533427412242018	1
0.005	0.6687623274161736	0.03007889546351085	0.004930966469428008	0.29622781065088755	0.007319304666056724	0.9569588992767684	1
0.006	0.6716592702169625	0.027181952662721894	0.005362426035502958	0.2957963510848126	0.007920611798980334	0.9611042511906861	1
0.007	0.6742480276134122	0.02459319526627219	0.00597879684418146	0.2951799802761341	0.008789416455237406	0.9648086082201446	1
0.008	0.6766518737672583	0.022189349112426034	0.006780078895463511	0.2943786982248521	0.009920634920634922	0.9682483683189276	1
0.009000000000000001	0.6781928007889546	0.020648422090729784	0.0073964497041420114	0.2937623274161736	0.010788456351703677	0.9704533427412242	1
0.01	0.6794871794871795	0.019354043392504933	0.008012820512820512	0.2931459566074951	0.011655011655011654	0.9723055212559535	1
0.011	0.6807199211045365	0.018121301775147928	0.008444280078895463	0.2927144970414201	0.01225292907611126	0.9740695007937908	1
0.012	0.6819526627218935	0.016888560157790927	0.008937376725838265	0.2922214003944773	0.012936033544473192	0.9758334803316281	1
0.013000000000000001	0.6827539447731755	0.016087278106508875	0.009738658777120315	0.29142011834319526	0.014063195371606586	0.9769800670312224	1
0.014	0.6834319526627219	0.015409270216962525	0.010416666666666666	0.2907421104536489	0.015012880874122767	0.9779502557770331	1
0.015	0.684233234714004	0.014607988165680473	0.011156311637080868	0.2900024654832347	0.01604325474206701	0.9790968424766273	1
0.016	0.6849728796844181	0.013868343195266272	0.011895956607495069	0.28926282051282054	0.01707058199186273	0.9801552301993296	1
0.017	0.6855276134122288	0.013313609467455622	0.01257396449704142	0.2885848126232742	0.01801165460003532	0.9809490209913565	1
0.018000000000000002	0.6858357988165681	0.013005424063116371	0.013251972386587771	0.2879068047337278	0.018956092399929462	0.9813900158758159	1
0.019	0.686267258382643	0.01257396449704142	0.013806706114398421	0.28735207100591714	0.019721782003873922	0.9820074087140589	1
0.02	0.6865138067061144	0.01232741617357002	0.014053254437869823	0.28710552268244577	0.020059827555868378	0.9823602046216264	1
0.021	0.6868836291913215	0.01195759368836292	0.014731262327416174	0.2864275147928994	0.02099622243696741	0.9828893984829776	1
0.022	0.6871301775147929	0.01171104536489152	0.015224358974358974	0.2859344181459566	0.02167617376042124	0.983242194390545	1
0.023	0.6876849112426036	0.011156311637080868	0.015840729783037476	0.2853180473372781	0.0225162081654109	0.9840359851825718	1
0.024	0.6878081854043393	0.011033037475345168	0.016518737672583828	0.28464003944773175	0.02345322481841253	0.9842123831363557	1
0.025	0.6881163708086785	0.010724852071005916	0.016950197238658777	0.2842085798816568	0.024040562986275025	0.984653378020815	1
0.026000000000000002	0.688732741617357	0.010108481262327416	0.01768984220907298	0.2834689349112426	0.025041444900095976	0.9855353677897336	1
0.027	0.6893491124260355	0.009492110453648915	0.01830621301775148	0.2828525641025641	0.02586882675725111	0.9864173575586522	1
0.028	0.689534023668639	0.009307199211045366	0.01916913214990138	0.2819896449704142	0.027048182292572626	0.9866819544893279	1
0.029	0.6897189349112426	0.009122287968441814	0.019354043392504933	0.2818047337278107	0.02729485396383867	0.9869465514200035	1
0.03	0.6898422090729783	0.008999013806706115	0.02009368836291913	0.28106508875739644	0.0283035249175204	0.9871229493737873	1
0.031	0.6900887573964497	0.008752465483234714	0.021018244575936883	0.2801405325443787	0.029557077229782437	0.9874757452813547	1
0.032	0.6902736686390533	0.008567554240631164	0.021572978303747534	0.27958579881656803	0.030305654169192137	0.9877403422120303	1
0.033	0.6905202169625246	0.008321005917159764	0.022004437869822487	0.2791543392504931	0.030882352941176472	0.9880931381195978	1
0.034	0.6907051282051282	0.008136094674556213	0.022497534516765286	0.2786612426035503	0.031544378186846425	0.9883577350502734	1
0.035	0.6908900394477318	0.007951183431952663	0.022928994082840236	0.27822978303747536	0.03212157844745704	0.9886223319809491	1
0.036000000000000004	0.6912598619329389	0.007581360946745562	0.023730276134122288	0.2774285009861933	0.03318965517241379	0.9891515258423003	1
0.037	0.6915680473372781	0.0072731755424063115	0.024285009861932938	0.27687376725838264	0.03392457379025315	0.9895925207267595	1
0.038	0.6918145956607495	0.0070266272189349116	0.02502465483234714	0.27613412228796846	0.0349097162510748	0.989945316634327	1
0.039	0.6919995069033531	0.006841715976331361	0.02570266272189349	0.2754561143984221	0.03581243558914462	0.9902099135650027	1
0.04	0.6922460552268245	0.00659516765285996	0.026072485207100593	0.275086291913215	0.036296550540586926	0.9905627094725702	1
0.041	0.6923693293885601	0.0064718934911242604	0.026442307692307692	0.27471646942800787	0.03678614302864003	0.9907391074263537	1
0.042	0.6924926035502958	0.0063486193293885605	0.026935404339250492	0.27422337278106507	0.037440027416038385	0.9909155053801376	1
0.043000000000000003	0.6925542406311637	0.00628698224852071	0.027305226824457594	0.273853550295858	0.03793132973713503	0.9910037043570294	1
0.044	0.6927391518737672	0.00610207100591716	0.027859960552268245	0.27329881656804733	0.038662218800786935	0.991268301287705	1
0.045	0.6929240631163708	0.005917159763313609	0.028599605522682446	0.27255917159763315	0.039637792584999144	0.9915328982183806	1
0.046	0.6931089743589743	0.005732248520710059	0.029154339250493096	0.2720044378698225	0.0403652500426694	0.9917974951490562	1
0.047	0.6931706114398422	0.005670611439842209	0.029770710059171597	0.271388067061144	0.041179981243072726	0.9918856941259482	1
0.048	0.6933555226824457	0.005485700197238659	0.030263806706114397	0.2708949704142012	0.04182282793867121	0.9921502910566237	1
0.049	0.6934787968441815	0.005362426035502958	0.0307569033530572	0.2704018737672584	0.042468085106382975	0.9923266890104074	1
0.05	0.693663708086785	0.005177514792899409	0.0316198224852071	0.26953895463510846	0.04359649868275686	0.992591285941083	1
0.051000000000000004	0.6937869822485208	0.005054240631163708	0.03229783037475345	0.26886094674556216	0.044482173174872665	0.9927676838948669	1
0.052000000000000005	0.6937869822485208	0.005054240631163708	0.033037475345167655	0.2681213017751479	0.045454545454545456	0.9927676838948669	1
0.053	0.6939102564102564	0.004930966469428008	0.033838757396449703	0.2673200197238659	0.04649784026425002	0.9929440818486506	1
0.054	0.6939102564102564	0.004930966469428008	0.0347016765285996	0.26645710059171596	0.047627104305896284	0.9929440818486506	1
0.055	0.6939718934911243	0.0048693293885601575	0.03544132149901381	0.2657174556213018	0.04858881189792124	0.9930322808255425	1
0.056	0.6941568047337278	0.004684418145956607	0.036119329388560155	0.2650394477317554	0.04945982444294396	0.993296877756218	1
0.057	0.6942184418145957	0.004622781065088758	0.03655078895463511	0.2646079881656805	0.05001686909581646	0.9933850767331099	1
0.058	0.6942184418145957	0.004622781065088758	0.03704388560157791	0.2641148915187377	0.050657451112609574	0.9933850767331099	1
0.059000000000000004	0.6943417159763313	0.004499506903353058	0.03759861932938856	0.263560157790927	0.05136842105263158	0.9935614746868936	1
0.06	0.6945266272189349	0.004314595660749507	0.03803007889546351	0.2631286982248521	0.05191417753470762	0.9938260716175692	1
0.061	0.6945882642998028	0.004252958579881657	0.03883136094674556	0.26232741617357	0.05294562568283048	0.9939142705944611	1
0.062	0.6947115384615384	0.004129684418145957	0.03901627218934911	0.26214250493096647	0.05317540322580645	0.9940906685482448	1
0.063	0.6947731755424064	0.0040680473372781065	0.039817554240631166	0.2613412228796844	0.05420372545729149	0.9941788675251367	1
0.064	0.6948348126232742	0.004006410256410256	0.04043392504930966	0.26072485207100593	0.05499203621426775	0.9942670665020286	1
0.065	0.6948348126232742	0.004006410256410256	0.04117357001972387	0.2599852071005917	0.05594171342433632	0.9942670665020286	1
0.066	0.694896449704142	0.0039447731755424065	0.041728303747534515	0.2594304733727811	0.05664797924859844	0.9943552654789204	1
0.067	0.6949580867850098	0.003883136094674556	0.04240631163708087	0.2587524654832347	0.05751065786174037	0.9944434644558122	1
0.068	0.6950813609467456	0.003759861932938856	0.042899408284023666	0.2582593688362919	0.05813079428714608	0.994619862409596	1
0.069	0.6952046351084813	0.0036365877712031557	0.04351577909270217	0.2576429980276134	0.058906967042136	0.9947962603633799	1
0.07	0.6952662721893491	0.0035749506903353058	0.04419378698224852	0.25696499013806706	0.05976494123530882	0.9948844593402717	1
0.07100000000000001	0.6952662721893491	0.0035749506903353058	0.04474852071005917	0.2564102564102564	0.06046976511744128	0.9948844593402717	1
0.07200000000000001	0.6953279092702169	0.0035133136094674558	0.04505670611439842	0.25610207100591714	0.06085581085581086	0.9949726583171634	1
0.073	0.6953279092702169	0.0035133136094674558	0.045488165680473376	0.2556706114398422	0.06140277893335552	0.9949726583171634	1
0.074	0.6953279092702169	0.0035133136094674558	0.04591962524654832	0.2552391518737673	0.06194911026110095	0.9949726583171634	1
0.075	0.6955128205128205	0.0033284023668639054	0.04659763313609468	0.2545611439842209	0.06279069767441861	0.9952372552478391	1
0.076	0.6955128205128205	0.0033284023668639054	0.047337278106508875	0.2538214990138067	0.06372386325921009	0.9952372552478391	1
0.077	0.6955744575936884	0.0032667652859960554	0.04801528599605523	0.2531434911242604	0.06457228116710875	0.9953254542247311	1
0.078	0.6956360946745562	0.003205128205128205	0.048385108481262325	0.25277366863905326	0.06503189462347775	0.9954136532016229	1
0.079	0.695697731755424	0.003143491124260355	0.04906311637080868	0.2520956607495069	0.06587767938425888	0.9955018521785147	1
0.08	0.695697731755424	0.003143491124260355	0.04943293885601578	0.2517258382642998	0.06634130201009182	0.9955018521785147	1
0.081	0.695697731755424	0.003143491124260355	0.049679487179487176	0.2514792899408284	0.0666501281733234	0.9955018521785147	1
0.082	0.695697731755424	0.003143491124260355	0.05017258382642998	0.2509861932938856	0.06726716800264441	0.9955018521785147	1
0.083	0.695697731755424	0.003143491124260355	0.050850591715976334	0.25030818540433925	0.06811426684280054	0.9955018521785147	1
0.084	0.6957593688362919	0.003081854043392505	0.05140532544378698	0.2497534516765286	0.06880052796568224	0.9955900511554067	1
0.085	0.6958210059171598	0.0030202169625246546	0.051898422090729784	0.2492603550295858	0.06940895227104113	0.9956782501322985	1
0.08600000000000001	0.6959442800788954	0.0028969428007889547	0.05245315581854043	0.24870562130177515	0.07008730028001976	0.9958546480860822	1
0.08700000000000001	0.6959442800788954	0.0028969428007889547	0.052884615384615384	0.2482741617357002	0.07062309655115648	0.9958546480860822	1
0.088	0.6959442800788954	0.0028969428007889547	0.05331607495069034	0.24784270216962526	0.07115827574860152	0.9958546480860822	1
0.089	0.6959442800788954	0.0028969428007889547	0.05362426035502959	0.24753451676528598	0.07154016939396432	0.9958546480860822	1
0.09	0.6959442800788954	0.0028969428007889547	0.054178994082840236	0.24697978303747534	0.07222678718159409	0.9958546480860822	1
0.091	0.6959442800788954	0.0028969428007889547	0.05498027613412229	0.2461785009861933	0.07321677747681196	0.9958546480860822	1
0.092	0.6959442800788954	0.0028969428007889547	0.05565828402366864	0.24550049309664695	0.07405281285878301	0.9958546480860822	1
0.093	0.6960059171597633	0.0028353057199211047	0.05639792899408284	0.24476084812623275	0.07495699188989924	0.9959428470629741	1
0.094	0.6960059171597633	0.0028353057199211047	0.05695266272189349	0.2442061143984221	0.07563850687622789	0.9959428470629741	1
0.095	0.6960675542406312	0.0027736686390532543	0.057445759368836294	0.2437130177514793	0.07623721881390592	0.9960310460398659	1
0.096	0.696129191321499	0.0027120315581854043	0.058616863905325445	0.24254191321499013	0.07766435279706004	0.9961192450167577	1
0.097	0.696129191321499	0.0027120315581854043	0.05941814595660749	0.2417406311637081	0.07864251917115353	0.9961192450167577	1
0.098	0.6961908284023669	0.0026503944773175543	0.05997287968441815	0.24118589743589744	0.07931203130094555	0.9962074439936497	1
0.099	0.6961908284023669	0.0026503944773175543	0.060589250493096644	0.24056952662721892	0.08006189933213878	0.9962074439936497	1
0.1	0.6963141025641025	0.002527120315581854	0.06145216962524655	0.23970660749506903	0.08109646982267774	0.9963838419474333	1
0.11	0.696560650887574	0.0022805719921104536	0.06773915187376726	0.23341962524654833	0.08862903225806452	0.996736637855001	1
0.12	0.6968071992110454	0.0020340236686390532	0.07371794871794872	0.22744082840236687	0.09567234621230301	0.9970894337625684	1
0.13	0.696992110453649	0.0018491124260355029	0.08080621301775148	0.2203525641025641	0.10389095807908709	0.997354030693244	1
