blosum_score	nu_mean	nu_sd	n
-8	0.46789597	0.03509724536099069	2028
-7	0.53100299375	0.051968486967547314	676
-6	0.007301075164575	0.019653649332118942	68
-5	0.007301075164575	0.019653649332118942	1123
-4	0.007301075164575	0.019653649332118942	2374
-3	-0.08705171863	0.021928953246304995	2752
-2	-0.176237165775	0.024376977576447346	2440
-1	-0.173292422475	0.027304917958291774	1998
0	-0.1855791318	0.04030155412325685	1006
1	-0.1212959172275	0.037032486995531286	688
2	-0.1212959172275	0.037032486995531286	226
3	-0.1212959172275	0.037032486995531286	169
5	0	0	676
