blosum_score	stop	nu_mean	nu_sd	n
-6	FALSE	0.103968280452	0.030411157859565715	127
-5	FALSE	0.103968280452	0.030411157859565715	1465
-4	FALSE	0.09664297095	0.021212845956414327	2945
-3	FALSE	0.104497763575	0.01691526231120153	3749
-2	FALSE	-0.0603904828205	0.01952712496219312	3126
-1	FALSE	-0.10387110145	0.0198580903419901	2983
0	FALSE	-0.101621693945	0.03102587401316817	1412
1	FALSE	0.051919687884275	0.03736216666020496	1008
2	FALSE	-0.4399829805	0.049555749373030374	377
3	FALSE	-0.4399829805	0.049555749373030374	196
5	FALSE	0	0	905
