blosum_score	nu_mean	nu_sd	n
-8	1.8101613	0.035500943742549335	2028
-7	1.8294980975	0.05200461401765496	676
-6	0.4550536665	0.023282920534867097	68
-5	0.4550536665	0.023282920534867097	1123
-4	0.4550536665	0.023282920534867097	2374
-3	-0.125153229675	0.025047721450829945	2752
-2	-0.69970317575	0.027296874362870878	2440
-1	-0.98379221575	0.03222435473757023	1998
0	-1.2103316425	0.043425140601801915	1006
1	-1.1958507825	0.040543441684551165	688
2	-1.1958507825	0.040543441684551165	226
3	-1.1958507825	0.040543441684551165	169
5	0	0	676
