blosum_score	nu_mean	nu_sd	n
-8	-0.1316063209212	0.05188921741193307	2028
-7	-0.2097733673045	0.09426315160833312	676
-6	6.31655674825e-4	0.037093927075674174	68
-5	6.31655674825e-4	0.037093927075674174	1123
-4	6.31655674825e-4	0.037093927075674174	2374
-3	0.05944268445745	0.04481073827274932	2752
-2	0.0246914431219575	0.04539536105402188	2440
-1	0.065177702808725	0.0591221629117982	1998
0	0.087912030327275	0.08480730210487869	1006
1	-0.03328290135095	0.07879753730408402	688
2	-0.03328290135095	0.07879753730408402	226
3	-0.03328290135095	0.07879753730408402	169
5	0	0	676
