blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	37
-6	FALSE	-0.66644940345	0.22734626435568164	12
-5	FALSE	-0.66644940345	0.22734626435568164	58
-4	FALSE	-0.3940287990225	0.13373736017168894	95
-3	FALSE	-0.1483201643939	0.11952715185831883	132
-2	FALSE	-0.0345249423050725	0.1301224110761919	107
-1	FALSE	0.25692941683525	0.14227760687499072	90
0	FALSE	0.36793654696525	0.1770613632580461	62
1	FALSE	0.7191858094	0.21308629099693208	50
2	FALSE	0.971919082675	0.5279589387303373	11
3	FALSE	1.2308759316725	0.5868676506607338	12
