blosum_score	nu_mean	nu_sd	n
-7	0.98460518825	0.10746699072213071	553
-6	0.0232451683689	0.0330274395372108	71
-5	0.0232451683689	0.0330274395372108	970
-4	0.0232451683689	0.0330274395372108	1894
-3	0.042896977902125	0.0361595787264452	2383
-2	-0.101231685390275	0.042284307440036584	2058
-1	-0.069661890974175	0.04992345954268814	1501
0	-0.16838220874525	0.07018054723045812	790
1	-0.32025649485	0.07030071101500324	512
2	-0.32025649485	0.07030071101500324	211
3	-0.32025649485	0.07030071101500324	117
5	0	0	553
