blosum_score	nu_mean	nu_sd	n
-7	0.843926508	0.10370328269302648	553
-6	0.026932898710065	0.03449823227048964	71
-5	0.026932898710065	0.03449823227048964	970
-4	0.026932898710065	0.03449823227048964	1894
-3	0.029982698341425	0.03828587304825111	2383
-2	-0.0772749760291625	0.041075149107322774	2058
-1	-0.038081494099249	0.04722647279705143	1501
0	-0.16745485931325	0.07058994888126487	790
1	-0.319888852275	0.07329696246399087	512
2	-0.319888852275	0.07329696246399087	211
3	-0.319888852275	0.07329696246399087	117
5	0	0	553
