blosum_score	nu_mean	nu_sd	n
-8	0.41926593275	0.03367008626695265	2028
-7	0.41120231825	0.04881835688184444	676
-6	0.02640757349845	0.019776439030873935	68
-5	0.02640757349845	0.019776439030873935	1123
-4	0.02640757349845	0.019776439030873935	2374
-3	-0.06132603144875	0.0219165586580766	2752
-2	-0.1618474311	0.023198078536141094	2440
-1	-0.172726892725	0.027824057784027238	1998
0	-0.2124268032	0.039481043054817894	1006
1	-0.092244154207	0.03512657472831073	688
2	-0.092244154207	0.03512657472831073	226
3	-0.092244154207	0.03512657472831073	169
5	0	0	676
