rank	TP	FN	FP	TN	FDR	Power	Sensitivity	model
0.01	1	0	0	0	0	1	0.014288234256482625	1
0.02	1	0	0	0	0	1	0.02857646851296525	1
0.03	1	0	0	0	0	1	0.04286470276944787	1
0.04	1	0	0	0	0	1	0.0571529370259305	1
0.05	1	0	0	0	0	1	0.07152937025930499	1
0.06	1	0	0	0	0	1	0.08581760451578761	1
0.07	1	0	0	0	0	1	0.10010583877227024	1
0.08	1	0	0	0	0	1	0.11439407302875286	1
0.09	1	0	0	0	0	1	0.12877050626212735	1
0.1	1	0	0	0	0	1	0.14305874051860998	1
0.11	1	0	0	0	0	1	0.1573469747750926	1
0.12	1	0	0	0	0	1	0.17163520903157523	1
0.13	1	0	0	0	0	1	0.18601164226494973	1
0.14	1	0	0	0	0	1	0.20029987652143236	1
0.15	1	0	0	0	0	1	0.21458811077791498	1
0.16	1	0	0	0	0	1	0.2288763450343976	1
0.17	1	0	0	0	0	1	0.24325277826777209	1
0.18	1	0	0	0	0	1	0.2575410125242547	1
0.19	1	0	0	0	0	1	0.27182924678073733	1
0.2	1	0	0	0	0	1	0.28611748103721996	1
0.21	1	0	0	0	0	1	0.30049391427059446	1
0.22	1	0	0	0	0	1	0.3147821485270771	1
0.23	1	0	0	0	0	1	0.3290703827835597	1
0.24	1	0	0	0	0	1	0.34335861704004234	1
0.25	1	0	0	0	0	1	0.35773505027341684	1
0.26	1	0	0	0	0	1	0.37202328452989947	1
0.27	1	0	0	0	0	1	0.3863115187863821	1
0.28	1	0	0	0	0	1	0.4005997530428647	1
0.29	1	0	0	0	0	1	0.41488798729934734	1
0.3	1	0	0	0	0	1	0.42926442053272185	1
0.31	1	0	0	0	0	1	0.44355265478920447	1
0.32	1	0	0	0	0	1	0.4578408890456871	1
0.33	1	0	0	0	0	1	0.4721291233021697	1
0.34	1	0	0	0	0	1	0.48650555653554417	1
0.35	1	0	0	0	0	1	0.5007937907920268	1
0.36	1	0	0	0	0	1	0.5150820250485094	1
0.37	1	0	0	0	0	1	0.529370259304992	1
0.38	1	0	0	0	0	1	0.5437466925383666	1
0.39	1	0	0	0	0	1	0.5580349267948492	1
0.4	1	0	0	0	0	1	0.5723231610513319	1
0.41	1	0	0	0	0	1	0.5866113953078145	1
0.42	1	0	0	0	0	1	0.6009878285411889	1
0.43	1	0	0	0	0	1	0.6152760627976716	1
0.44	1	0	0	0	0	1	0.6295642970541542	1
0.45	1	0	0	0	0	1	0.6438525313106368	1
0.46	1	0	0	0	0	1	0.6582289645440113	1
0.47	1	0	0	0	0	1	0.6725171988004939	1
0.48	1	0	0	0	0	1	0.6868054330569765	1
0.49	1	0	0	0	0	1	0.7010936673134591	1
0.5	1	0	0	0	0	1	0.7154701005468337	1
0.51	1	0	0	0	0	1	0.7297583348033163	1
0.52	0.9998814604077761	0	1.1853959222380275e-4	0	1.1853959222380275e-4	1	0.743958370082907	1
0.53	0.9998836938822983	0	1.1630611770179111e-4	0	1.1630611770179111e-4	1	0.7582466043393896	1
0.54	0.9998858447488584	0	1.1415525114155251e-4	0	1.1415525114155251e-4	1	0.7725348385958722	1
0.55	0.9997758601367254	0	2.241398632746834e-4	0	2.241398632746834e-4	1	0.7868230728523549	1
0.56	0.9996697853604843	0	3.302146395156852e-4	0	3.302146395156852e-4	1	0.8010231081319457	1
0.57	0.9992429977289932	0	7.57002271006813e-4	0	7.57002271006813e-4	1	0.8149585464808609	1
0.58	0.9992560314592411	0	7.439685407588479e-4	0	7.439685407588479e-4	1	0.8292467807373435	1
0.59	0.9990597576264104	0	9.402423735896364e-4	0	9.402423735896364e-4	1	0.8434468160169342	1
0.6	0.9990754057941237	0	9.245942058763099e-4	0	9.245942058763099e-4	1	0.8577350502734168	1
0.61	0.9986863379143088	0	0.0013136620856911885	0	0.0013136620856911885	1	0.871670488622332	1
0.62	0.998409226486379	0	0.0015907735136209981	0	0.0015907735136209981	1	0.885694125948139	1
0.63	0.9982389198708541	0	0.0017610801291458762	0	0.0017610801291458762	1	0.8998941612277298	1
0.64	0.9977848406048349	0	0.002215159395165174	0	0.002215159395165174	1	0.9137414005997531	1
0.65	0.9970602181128497	0	0.0029397818871503083	0	0.0029397818871503083	1	0.9273240430411007	1
0.66	0.9957037452134118	0	0.004296254786588213	0	0.004296254786588213	1	0.9402892926442054	1
0.67	0.9931922723091077	0	0.0068077276908923645	0	0.0068077276908923645	1	0.9521961545246075	1
0.68	0.990572878897752	0	0.009427121102248005	0	0.009427121102248005	1	0.9638384194743341	1
0.69	0.9857066285510094	0	0.014293371448990531	0	0.014293371448990531	1	0.9731875110248721	1
0.7	0.9794822120464952	0	0.020517787953504757	0	0.020517787953504757	1	0.9810372199682483	1
0.71	0.9708308012848338	0	0.029169198715166246	0	0.029169198715166246	1	0.9863291585817604	1
0.72	0.960876637274206	0	0.039123362725794024	0	0.039123362725794024	1	0.989945316634327	1
0.73	0.9502659799037406	0	0.04973402009625939	0	0.04973402009625939	1	0.992591285941083	1
