rank	TP	FN	FP	TN	FDR	Power	Sensitivity	model
0.01	1	0	0	0	0	1	0.02258185923974407	1
0.02	1	0	0	0	0	1	0.04516371847948814	1
0.03	1	0	0	0	0	1	0.06774557771923222	1
0.04	1	0	0	0	0	1	0.09070380127963869	1
0.05	1	0	0	0	0	1	0.11328566051938277	1
0.06	1	0	0	0	0	1	0.13586751975912684	1
0.07	1	0	0	0	0	1	0.1584493789988709	1
0.08	1	0	0	0	0	1	0.18140760255927738	1
0.09	1	0	0	0	0	1	0.20398946179902144	1
0.1	1	0	0	0	0	1	0.22657132103876554	1
0.11	1	0	0	0	0	1	0.2491531802785096	1
0.12	1	0	0	0	0	1	0.2721114038389161	1
0.13	1	0	0	0	0	1	0.2946932630786601	1
0.14	1	0	0	0	0	1	0.3172751223184042	1
0.15	1	0	0	0	0	1	0.3402333458788107	1
0.16	1	0	0	0	0	1	0.36281520511855475	1
0.17	1	0	0	0	0	1	0.38539706435829885	1
0.18	1	0	0	0	0	1	0.4079789235980429	1
0.19	1	0	0	0	0	1	0.4309371471584494	1
0.2	1	0	0	0	0	1	0.4535190063981934	1
0.21	1	0	0	0	0	1	0.4761008656379375	1
0.22	1	0	0	0	0	1	0.4986827248776816	1
0.23	1	0	0	0	0	1	0.5216409484380881	1
0.24	1	0	0	0	0	1	0.5442228076778322	1
0.25	1	0	0	0	0	1	0.5668046669175762	1
0.26	1	0	0	0	0	1	0.5897628904779827	1
0.27	1	0	0	0	0	1	0.6123447497177268	1
0.28	1	0	0	0	0	1	0.6349266089574709	1
0.29	1	0	0	0	0	1	0.6575084681972149	1
0.3	1	0	0	0	0	1	0.6804666917576214	1
0.31	1	0	0	0	0	1	0.7030485509973654	1
0.32	1	0	0	0	0	1	0.7256304102371095	1
0.33	1	0	0	0	0	1	0.7482122694768536	1
0.34	1	0	0	0	0	1	0.77117049303726	1
0.35	1	0	0	0	0	1	0.7937523522770041	1
0.36	1	0	0	0	0	1	0.8163342115167482	1
0.37	1	0	0	0	0	1	0.8389160707564923	1
0.38	1	0	0	0	0	1	0.8618742943168988	1
0.39	1	0	0	0	0	1	0.8844561535566429	1
0.4	1	0	0	0	0	1	0.90703801279638685	1
0.41	1	0	0	0	0	1	0.9299962363567934	1
0.42	0.9996048992493086	0	3.951007506914263e-4	0	3.951007506914263e-4	1	0.952201731275875	1
0.43	0.9953685835584717	0	0.004631416441528367	0	0.004631416441528367	1	0.9706435829883328	1
0.44	0.984534138061109	0	0.015465861938890985	0	0.015465861938890985	1	0.9823108769288671	1
0.45	0.967551622418879	0	0.032448377581120944	0	0.032448377581120944	1	0.9875799774181407	1
0.46	0.9487734487734488	0	0.051226551226551224	0	0.051226551226551224	1	0.9898381633421152	1
0.47	0.9293785310734464	0	0.07062146892655367	0	0.07062146892655367	1	0.99059089198344	1
0.48	0.9100968188105117	0	0.08990318118948824	0	0.08990318118948824	1	0.99059089198344	1
0.49	0.8923129021334236	0	0.10768709786657636	0	0.10768709786657636	1	0.9917199849454271	1
0.5	0.875871224692997	0	0.12412877530700299	0	0.12412877530700299	1	0.9932254422280767	1
0.51	0.8594207614708753	0	0.14057923852912463	0	0.14057923852912463	1	0.9939781708694015	1
0.52	0.8426930440331845	0	0.15730695596681557	0	0.15730695596681557	1	0.9939781708694015	1
0.53	0.8271759549154665	0	0.1728240450845335	0	0.1728240450845335	1	0.994354535190064	1
0.54	0.8119237861094039	0	0.1880762138905962	0	0.1880762138905962	1	0.994354535190064	1
0.55	0.7975256487628244	0	0.2024743512371756	0	0.2024743512371756	1	0.9947308995107264	1
0.56	0.7834074074074074	0	0.2165925925925926	0	0.2165925925925926	1	0.9951072638313888	1
0.57	0.7697234352256186	0	0.23027656477438138	0	0.23027656477438138	1	0.9951072638313888	1
0.58	0.7565092989985693	0	0.2434907010014306	0	0.2434907010014306	1	0.9951072638313888	1
0.59	0.7437412095639944	0	0.25625879043600563	0	0.25625879043600563	1	0.9951072638313888	1
0.6	0.7311946902654868	0	0.2688053097345133	0	0.2688053097345133	1	0.9951072638313888	1
0.61	0.719532100108814	0	0.2804678998911861	0	0.2804678998911861	1	0.9954836281520512	1
0.62	0.7082441113490364	0	0.2917558886509636	0	0.2917558886509636	1	0.9958599924727136	1
0.63	0.6968659468001054	0	0.30313405319989467	0	0.30313405319989467	1	0.9958599924727136	1
0.64	0.6865439460720767	0	0.31345605392792325	0	0.31345605392792325	1	0.9966127211140384	1
0.65	0.6762828695430176	0	0.32371713045698236	0	0.32371713045698236	1	0.9969890854347008	1
0.66	0.6660799597686698	0	0.33392004023133015	0	0.33392004023133015	1	0.9969890854347008	1
0.67	0.6560178306092125	0	0.3439821693907875	0	0.3439821693907875	1	0.9969890854347008	1
0.68	0.6464128843338214	0	0.3535871156661786	0	0.3535871156661786	1	0.9969890854347008	1
0.69	0.6373256373256373	0	0.36267436267436265	0	0.36267436267436265	1	0.9973654497553632	1
0.7	0.6282598387861545	0	0.3717401612138454	0	0.3717401612138454	1	0.9973654497553632	1
0.71	0.6195372750642674	0	0.38046272493573263	0	0.38046272493573263	1	0.9977418140760256	1
0.72	0.6109702696473842	0	0.3890297303526158	0	0.3890297303526158	1	0.9977418140760256	1
0.73	0.6026369629461241	0	0.3973630370538759	0	0.3973630370538759	1	0.9977418140760256	1
