blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	57
-6	FALSE	-0.55423046775	0.07004954983485602	8
-5	FALSE	-0.55423046775	0.07004954983485602	151
-4	FALSE	-0.3705482225	0.05260676162653145	250
-3	FALSE	-0.1527935206425	0.04258447143767585	316
-2	FALSE	0.066309167888325	0.050183561287289534	242
-1	FALSE	0.32835530425	0.05036525294529695	231
0	FALSE	0.4661507855	0.08939798838230473	93
1	FALSE	0.7365411175	0.10927343700841986	65
2	FALSE	1.2755101295	0.17386727231492502	17
3	FALSE	1.2755101295	0.17386727231492502	19
