blosum_score	nu_mean	nu_sd	n
-7	-0.021606718519775	0.06930207434208867	553
-6	-0.015037099682549999	0.02847547325058505	71
-5	-0.015037099682549999	0.02847547325058505	970
-4	-0.015037099682549999	0.02847547325058505	1894
-3	-0.0077733961315375	0.03090115596386565	2383
-2	0.037994933439525	0.03435236263036317	2058
-1	0.0479165910711	0.040698782056982775	1501
0	-0.04666447445485	0.05743553762213897	790
1	-0.04600599013905	0.056277174952960154	512
2	-0.04600599013905	0.056277174952960154	211
3	-0.04600599013905	0.056277174952960154	117
5	0	0	553
