blosum_score	nu_mean	nu_sd	n
-7	0.008286931691375	0.16916043329137848	553
-6	-0.121273991721525	0.06830476702004522	71
-5	-0.121273991721525	0.06830476702004522	970
-4	-0.121273991721525	0.06830476702004522	1894
-3	0.092186580526719	0.07632267581403705	2383
-2	0.153386063730375	0.08024086584046956	2058
-1	-0.14219326556025	0.09510011562624085	1501
0	-0.0634986960366	0.13539034432228142	790
1	0.094765963486395	0.14214495813663885	512
2	0.094765963486395	0.14214495813663885	211
3	0.094765963486395	0.14214495813663885	117
5	0	0	553
