rank	TP	FN	FP	TN	FDR	Power	Sensitivity	model
0.01	1	0	0	0	0	1	0.019230769230769232	1
0.02	1	0	0	0	0	1	0.038461538461538464	1
0.03	1	0	0	0	0	1	0.057692307692307696	1
0.04	1	0	0	0	0	1	0.07724358974358975	1
0.05	1	0	0	0	0	1	0.09647435897435898	1
0.06	1	0	0	0	0	1	0.11570512820512821	1
0.07	1	0	0	0	0	1	0.13493589743589743	1
0.08	1	0	0	0	0	1	0.1544871794871795	1
0.09	1	0	0	0	0	1	0.1737179487179487	1
0.1	1	0	0	0	0	1	0.19294871794871796	1
0.11	1	0	0	0	0	1	0.21217948717948718	1
0.12	1	0	0	0	0	1	0.23173076923076924	1
0.13	1	0	0	0	0	1	0.25096153846153846	1
0.14	1	0	0	0	0	1	0.2701923076923077	1
0.15	1	0	0	0	0	1	0.28974358974358977	1
0.16	1	0	0	0	0	1	0.308974358974359	1
0.17	1	0	0	0	0	1	0.3282051282051282	1
0.18	1	0	0	0	0	1	0.3474358974358974	1
0.19	1	0	0	0	0	1	0.36698717948717946	1
0.2	1	0	0	0	0	1	0.38621794871794873	1
0.21	1	0	0	0	0	1	0.40544871794871795	1
0.22	1	0	0	0	0	1	0.42467948717948717	1
0.23	1	0	0	0	0	1	0.4442307692307692	1
0.24	1	0	0	0	0	1	0.4634615384615385	1
0.25	1	0	0	0	0	1	0.4826923076923077	1
0.26	1	0	0	0	0	1	0.5022435897435897	1
0.27	1	0	0	0	0	1	0.521474358974359	1
0.28	1	0	0	0	0	1	0.5407051282051282	1
0.29	1	0	0	0	0	1	0.5599358974358974	1
0.3	1	0	0	0	0	1	0.5794871794871795	1
0.31	1	0	0	0	0	1	0.5987179487179487	1
0.32	1	0	0	0	0	1	0.617948717948718	1
0.33	1	0	0	0	0	1	0.6371794871794871	1
0.34	1	0	0	0	0	1	0.6567307692307692	1
0.35	1	0	0	0	0	1	0.6759615384615385	1
0.36	1	0	0	0	0	1	0.6951923076923077	1
0.37	1	0	0	0	0	1	0.7144230769230769	1
0.38	1	0	0	0	0	1	0.7339743589743589	1
0.39	1	0	0	0	0	1	0.7532051282051282	1
0.4	1	0	0	0	0	1	0.7724358974358975	1
0.41	1	0	0	0	0	1	0.7919871794871794	1
0.42	1	0	0	0	0	1	0.8112179487179487	1
0.43	1	0	0	0	0	1	0.830448717948718	1
0.44	1	0	0	0	0	1	0.8496794871794872	1
0.45	1	0	0	0	0	1	0.8692307692307693	1
0.46	1	0	0	0	0	1	0.8884615384615384	1
0.47	1	0	0	0	0	1	0.9076923076923077	1
0.48	1	0	0	0	0	1	0.926923076923077	1
0.49	1	0	0	0	0	1	0.9464743589743589	1
0.5	0.9996681048788583	0	3.3189512114171923e-4	0	3.3189512114171923e-4	1	0.9653846153846154	1
