blosum_score	stop	nu_mean	nu_sd	n
-6	FALSE	-0.85297519325	0.1554950250469062	218
-5	FALSE	-0.75544511275	0.13859066973167314	276
-4	FALSE	0.052938631714775	0.10359388119541031	481
-3	FALSE	-0.45117572675	0.06994897536982515	809
-2	FALSE	-0.0070049752263225	0.07985853464260882	606
-1	FALSE	-0.046335067456075	0.10972653068181124	483
0	FALSE	1.0248474905	0.1629217292044531	254
1	FALSE	1.69784309225	0.19918714841039872	196
2	FALSE	1.63556050425	0.30888994852792456	82
3	FALSE	1.51861427385	0.527102473303764	22
