rank	TP	FN	FP	TN	FDR	Power	Sensitivity	model
0.01	1	0	0	0	0	1	0.016495265247938092	1
0.02	1	0	0	0	0	1	0.032990530495876184	1
0.03	1	0	0	0	0	1	0.04948579574381427	1
0.04	1	0	0	0	0	1	0.06598106099175237	1
0.05	1	0	0	0	0	1	0.08257814886467774	1
0.06	1	0	0	0	0	1	0.09907341411261582	1
0.07	1	0	0	0	0	1	0.11556867936055391	1
0.08	1	0	0	0	0	1	0.132063944608492	1
0.09	1	0	0	0	0	1	0.14866103248141738	1
0.1	1	0	0	0	0	1	0.16515629772935547	1
0.11	1	0	0	0	0	1	0.18165156297729357	1
0.12	1	0	0	0	0	1	0.19814682822523164	1
0.13	1	0	0	0	0	1	0.21474391609815702	1
0.14	1	0	0	0	0	1	0.2312391813460951	1
0.15	1	0	0	0	0	1	0.24773444659403318	1
0.16	1	0	0	0	0	1	0.2642297118419713	1
0.17	1	0	0	0	0	1	0.28082679971489666	1
0.18	1	0	0	0	0	1	0.29732206496283475	1
0.19	1	0	0	0	0	1	0.31381733021077285	1
0.2	1	0	0	0	0	1	0.33031259545871094	1
0.21	1	0	0	0	0	1	0.3469096833316363	1
0.22	1	0	0	0	0	1	0.3634049485795744	1
0.23	1	0	0	0	0	1	0.3799002138275125	1
0.24	1	0	0	0	0	1	0.3963954790754506	1
0.25	1	0	0	0	0	1	0.41299256694837594	1
0.26	1	0	0	0	0	1	0.42948783219631403	1
0.27	1	0	0	0	0	1	0.44598309744425213	1
0.28	1	0	0	0	0	1	0.4624783626921902	1
0.29	1	0	0	0	0	1	0.4789736279401283	1
0.3	1	0	0	0	0	1	0.4955707158130537	1
0.31	1	0	0	0	0	1	0.5120659810609918	1
0.32	1	0	0	0	0	1	0.5285612463089299	1
0.33	1	0	0	0	0	1	0.545056511556868	1
0.34	1	0	0	0	0	1	0.5616535994297933	1
0.35	1	0	0	0	0	1	0.5781488646777314	1
0.36	1	0	0	0	0	1	0.5946441299256695	1
0.37	1	0	0	0	0	1	0.6111393951736076	1
0.38	1	0	0	0	0	1	0.627736483046533	1
0.39	1	0	0	0	0	1	0.644231748294471	1
0.4	1	0	0	0	0	1	0.6607270135424091	1
0.41	1	0	0	0	0	1	0.6772222787903472	1
0.42	1	0	0	0	0	1	0.6938193666632726	1
0.43	1	0	0	0	0	1	0.7103146319112107	1
0.44	1	0	0	0	0	1	0.7268098971591488	1
0.45	1	0	0	0	0	1	0.7433051624070869	1
0.46	1	0	0	0	0	1	0.7599022502800122	1
0.47	1	0	0	0	0	1	0.7763975155279503	1
0.48	1	0	0	0	0	1	0.7928927807758884	1
0.49	1	0	0	0	0	1	0.8093880460238265	1
0.5	1	0	0	0	0	1	0.8259851338967519	1
0.51	0.9997582789460963	0	2.4172105390379503e-4	0	2.4172105390379503e-4	1	0.8422767538947155	1
0.52	0.9997629208155524	0	2.370791844476055e-4	0	2.370791844476055e-4	1	0.8587720191426534	1
0.53	0.9997673877645964	0	2.3261223540358222e-4	0	2.3261223540358222e-4	1	0.8752672843905915	1
0.54	0.9996575342465753	0	3.4246575342465754e-4	0	3.4246575342465754e-4	1	0.8916607270135424	1
0.55	0.9994396503418133	0	5.603496581867085e-4	0	5.603496581867085e-4	1	0.9080541696364932	1
0.56	0.9986791414419373	0	0.0013208585580627408	0	0.0013208585580627408	1	0.9238366765095204	1
0.57	0.9981615659132692	0	0.0018384340867308316	0	0.0018384340867308316	1	0.9398228286325222	1
0.58	0.997130407057073	0	0.002869592942926985	0	0.002869592942926985	1	0.9552998676305875	1
0.59	0.9942540743836189	0	0.005745925616381112	0	0.005745925616381112	1	0.9690459220038693	1
0.6	0.9894185329771933	0	0.010581467022806657	0	0.010581467022806657	1	0.9806537012524182	1
0.61	0.9813055780113177	0	0.018694421988682295	0	0.018694421988682295	1	0.9887995112514001	1
0.62	0.9694770332073971	0	0.030522966792602902	0	0.030522966792602902	1	0.992872416250891	1
0.63	0.9566578612660209	0	0.04334213873397906	0	0.04334213873397906	1	0.9956216271255472	1
