blosum_score	nu_mean	nu_sd	n
-8	-4.004659951275e-4	0.020474882597979693	2028
-7	-0.003129000900355	0.03635919362943849	676
-6	-0.016845340178625	0.014994908831539	68
-5	-0.016845340178625	0.014994908831539	1123
-4	-0.016845340178625	0.014994908831539	2374
-3	0.0220557822537	0.01745822031847747	2752
-2	-0.0113932733981875	0.018916855986650535	2440
-1	3.4535309705e-4	0.021597883485221507	1998
0	0.031928192692025	0.030778057421397723	1006
1	-0.0025177406927	0.029014877559380814	688
2	-0.0025177406927	0.029014877559380814	226
3	-0.0025177406927	0.029014877559380814	169
5	0	0	676
