blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-0.80263634625	0.09559321102280105	34
-5	FALSE	-0.80263634625	0.09559321102280105	463
-4	FALSE	-0.496838051	0.06504865301228056	912
-3	FALSE	-0.24210767625	0.057069820824189	1171
-2	FALSE	-0.11954691782975	0.06522320082323746	974
-1	FALSE	0.1644569883488	0.07832493931265982	744
0	FALSE	1.17304597175	0.10879518988816855	391
1	FALSE	1.647776455	0.13876394064593608	260
2	FALSE	1.8207958705	0.23359847271683656	108
3	FALSE	0.728389785305	0.2982194475222997	63
5	FALSE	0	0	273
