blosum_score	nu_mean	nu_sd	n
-7	0.116852350679175	0.16513119018509365	553
-6	-0.0214184788795	0.0639397058618204	71
-5	-0.0214184788795	0.0639397058618204	970
-4	-0.0214184788795	0.0639397058618204	1894
-3	-0.0036379751269125	0.07321359961007735	2383
-2	0.0664626276553775	0.07687947565705049	2058
-1	0.0918653567156375	0.09476451687380981	1501
0	-0.0599616289911	0.13489424106795306	790
1	-0.26236562344275	0.13490105958467336	512
2	-0.26236562344275	0.13490105958467336	211
3	-0.26236562344275	0.13490105958467336	117
5	0	0	553
