fdr	TP	FN	FP	TN	FDR	Power	model
0	0	0.3636441918539568	0	0.6363558081460432	NA	0	1
0.001	0.3557220356497029	0.007922156204253853	0.03711357960905881	0.5992422285369844	0.09447610697062692	0.9782145394269477	1
0.002	0.3572720227331439	0.006372169120812882	0.050460690605356066	0.5858951175406871	0.12375923970432945	0.9824769121477622	1
0.003	0.35761646430724187	0.006027727546714889	0.06027727546714889	0.5760785326788943	0.14424067587059552	0.9834241060857211	1
0.004	0.35804701627486435	0.005597175579092397	0.06983552914836821	0.566520278997675	0.16321191386596903	0.9846080985081695	1
0.005	0.35830534745543785	0.005338844398518902	0.07629380866270559	0.5600619994833377	0.1755498315831187	0.9853184939616386	1
0.006	0.35839145784896237	0.005252734004994403	0.08283819857056747	0.5535176095754758	0.18774395003903202	0.9855552924461283	1
0.007	0.35864978902953587	0.004994402824420908	0.08834926375613536	0.5480065443899078	0.19764977846272394	0.9862656878995973	1
0.008	0.35890812021010937	0.004736071643847413	0.09377421854817876	0.5425815895978645	0.2071523682708769	0.9869760833530665	1
0.009000000000000001	0.35908034099715835	0.004563850856798416	0.10040471884956514	0.5359510892964781	0.21851574212893554	0.987449680322046	1
0.01	0.35951089296478084	0.0041332988891759235	0.10445190734521657	0.5319039008008266	0.2251299183370453	0.9886336727444944	1
0.011	0.35959700335830536	0.0040471884956514255	0.10910186859553948	0.5272539395505037	0.23277604262355317	0.9888704712289841	1
0.012	0.35959700335830536	0.0040471884956514255	0.1135796090588134	0.5227761990872298	0.24003639672429483	0.9888704712289841	1
0.013000000000000001	0.35959700335830536	0.0040471884956514255	0.11831568070266081	0.5180401274433825	0.24756756756756756	0.9888704712289841	1
0.014	0.3596831137518298	0.0039610781021269265	0.12287953155945923	0.513476276586584	0.2546395431834404	0.9891072697134738	1
0.015	0.35976922414535434	0.0038749677086024285	0.12770171359683113	0.5086540945492121	0.26196785020314434	0.9893440681979636	1
0.016	0.3599414449324033	0.0037027469215534315	0.13200723327305605	0.5043485748729871	0.2683353754594784	0.9898176651669429	1
0.017	0.36011366571945236	0.0035305261345044345	0.1360544217687075	0.5003013863773358	0.2742103436306838	0.9902912621359223	1
0.018000000000000002	0.36011366571945236	0.0035305261345044345	0.13932661672263844	0.4970291914234048	0.2789655172413793	0.9902912621359223	1
0.019	0.36011366571945236	0.0035305261345044345	0.14173770774132438	0.4946181004047189	0.28242964996568287	0.9902912621359223	1
0.02	0.36037199690002586	0.0032721949539309394	0.14475157151468182	0.4916042366313614	0.2865666553017388	0.9910016575893914	1
0.021	0.36037199690002586	0.0032721949539309394	0.14750710410746576	0.48884870403857744	0.29043743641912506	0.9910016575893914	1
0.022	0.36037199690002586	0.0032721949539309394	0.15052096788082323	0.48583484026522	0.29462329344345184	0.9910016575893914	1
0.023	0.3604581072935503	0.003186084560406441	0.15465426676999913	0.4817015413760441	0.30023403543965227	0.9912384560738812	1
0.024	0.3606303280805993	0.0030138637733574444	0.15827090329802807	0.47808490484801514	0.30501161632923995	0.9917120530428606	1
0.025	0.3607164384741238	0.002927753379832946	0.16145698785843451	0.4748988202876087	0.3092018469656992	0.9919488515273502	1
0.026000000000000002	0.3607164384741238	0.002927753379832946	0.16429863084474297	0.47205717730130026	0.3129407905527309	0.9919488515273502	1
0.027	0.3607164384741238	0.002927753379832946	0.1667958322569534	0.4695599758890898	0.3161932745674176	0.9919488515273502	1
0.028	0.3607164384741238	0.002927753379832946	0.16955136484973737	0.4668044432963059	0.31974667099707693	0.9919488515273502	1
0.029	0.3607164384741238	0.002927753379832946	0.1720485662619478	0.4643072418840954	0.32293518668175203	0.9919488515273502	1
0.03	0.3607164384741238	0.002927753379832946	0.17497631964178076	0.46137948850426247	0.3266355891335798	0.9919488515273502	1
0.031	0.36080254886764834	0.0028416429863084474	0.17755963144751571	0.4587961766985275	0.32981445937300063	0.9921856500118399	1
0.032	0.36080254886764834	0.0028416429863084474	0.17945406010505469	0.45690174804098854	0.33216448836467966	0.9921856500118399	1
0.033	0.3608886592611728	0.002755532592783949	0.18220959269783862	0.4541462154482046	0.3355002378309815	0.9924224484963297	1
0.034	0.3608886592611728	0.002755532592783949	0.18427624214242658	0.45207956600361665	0.33801927025746326	0.9924224484963297	1
0.035	0.3609747696546973	0.002669422199259451	0.18685955394816153	0.4494962541978817	0.3410877082678403	0.9926592469808193	1
0.036000000000000004	0.3609747696546973	0.002669422199259451	0.1892706449668475	0.4470851631791957	0.3439749608763693	0.9926592469808193	1
0.037	0.3609747696546973	0.002669422199259451	0.19150951519848447	0.4448462929475588	0.34663341645885287	0.9926592469808193	1
0.038	0.36106088004822184	0.0025833118057349523	0.1944372685783174	0.4419185395677258	0.3500232522089598	0.992896045465309	1
0.039	0.3611469904417463	0.002497201412210454	0.19676224920347887	0.43959355894256436	0.3526778823892576	0.9931328439497987	1
0.04	0.3611469904417463	0.002497201412210454	0.19891500904159132	0.4374407991044519	0.3551660516605166	0.9931328439497987	1
0.041	0.3611469904417463	0.002497201412210454	0.2002066649444588	0.43614914320158443	0.3566497929130235	0.9931328439497987	1
0.042	0.3612331008352708	0.0024110910186859553	0.20158443124085076	0.43477137690519246	0.35817013463892283	0.9933696424342884	1
0.043000000000000003	0.3612331008352708	0.0024110910186859553	0.20373719107896324	0.43261861706708	0.3606157597927145	0.9933696424342884	1
0.044	0.3612331008352708	0.0024110910186859553	0.2060621717041247	0.43029363644191854	0.3632361870066788	0.9933696424342884	1
0.045	0.3612331008352708	0.0024110910186859553	0.20761215878756567	0.4287436493584776	0.364971238268241	0.9933696424342884	1
0.046	0.3612331008352708	0.0024110910186859553	0.20993713941272713	0.42641866873331613	0.36755615860093477	0.9933696424342884	1
0.047	0.3612331008352708	0.0024110910186859553	0.21226212003788858	0.4240936881081547	0.37012012012012013	0.9933696424342884	1
0.048	0.3613192112287953	0.002324980625161457	0.21458710066305003	0.4217687074829932	0.3726076555023924	0.9936064409187781	1
0.049	0.3613192112287953	0.002324980625161457	0.2165676397141135	0.41978816843192973	0.374757860229474	0.9936064409187781	1
0.05	0.3614053216223198	0.0022388702316369588	0.21915095151984845	0.4172048566261948	0.3774844259863542	0.9938432394032679	1
0.051000000000000004	0.3614914320158443	0.0021527598381124603	0.22113149057091191	0.41522431757513134	0.3795447827372154	0.9940800378877575	1
0.052000000000000005	0.3614914320158443	0.0021527598381124603	0.22285369844140188	0.41350210970464135	0.38137341585617446	0.9940800378877575	1
0.053	0.3615775424093688	0.0020666494445879618	0.22526478946008782	0.4110910186859554	0.3838591342626559	0.9943168363722472	1
0.054	0.3616636528028933	0.0019805390510634633	0.2264703349694308	0.4098854731766124	0.3850658857979502	0.9945536348567369	1
0.055	0.3616636528028933	0.0019805390510634633	0.22879531559459226	0.40756049255145094	0.3874872393174858	0.9945536348567369	1
0.056	0.36174976319641783	0.001894428657538965	0.23086196503918022	0.405493843106863	0.38956698634117987	0.9947904333412266	1
0.057	0.36174976319641783	0.001894428657538965	0.2324980625161457	0.4038577456298975	0.3912476452688016	0.9947904333412266	1
0.058	0.36174976319641783	0.001894428657538965	0.23396193920606217	0.4023938689399811	0.39274356750505923	0.9947904333412266	1
0.059000000000000004	0.36174976319641783	0.001894428657538965	0.23628691983122363	0.4000688883148196	0.3951043916486681	0.9947904333412266	1
0.06	0.36174976319641783	0.001894428657538965	0.2380091277017136	0.39834668044432964	0.3968413496051687	0.9947904333412266	1
0.061	0.36174976319641783	0.001894428657538965	0.23921467321105658	0.39714113493498665	0.398051296747385	0.9947904333412266	1
0.062	0.36174976319641783	0.001894428657538965	0.24110910186859555	0.3952467062774477	0.39994286530495643	0.9947904333412266	1
0.063	0.36174976319641783	0.001894428657538965	0.242572978558512	0.3937828295875312	0.4013964092333998	0.9947904333412266	1
0.064	0.36174976319641783	0.001894428657538965	0.24395074485490398	0.3924050632911392	0.40275803241398916	0.9947904333412266	1
0.065	0.36174976319641783	0.001894428657538965	0.24601739429949196	0.39033841384655127	0.40478889203740437	0.9947904333412266	1
0.066	0.36174976319641783	0.001894428657538965	0.24773960216998192	0.38861620597606134	0.4064707544504097	0.9947904333412266	1
0.067	0.36174976319641783	0.001894428657538965	0.2491173684663739	0.3872384396796693	0.4078094164082323	0.9947904333412266	1
0.068	0.36174976319641783	0.001894428657538965	0.2505812451562904	0.3857745629897529	0.4092251441428772	0.9947904333412266	1
0.069	0.36174976319641783	0.001894428657538965	0.25178679066563336	0.3845690174804099	0.4103859649122807	0.9947904333412266	1
0.07	0.3618358735899423	0.0018083182640144665	0.2535089985361233	0.3828468096099199	0.411978729359082	0.9950272318257164	1
