blosum_score	nu_mean	nu_sd	n
-8	1.3553374175	0.04454046837131798	2028
-7	1.17245818925	0.062349539041929726	676
-6	0.4178817775	0.028160819546195242	68
-5	0.4178817775	0.028160819546195242	1123
-4	0.4178817775	0.028160819546195242	2374
-3	-0.0015506613975	0.031114161659219448	2752
-2	-0.614140795	0.03439351995312731	2440
-1	-0.79753452	0.03928316469306127	1998
0	-0.8977103735	0.053009672074545607	1006
1	-0.952551217	0.05164080494943284	688
2	-0.952551217	0.05164080494943284	226
3	-0.952551217	0.05164080494943284	169
5	0	0	676
