blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	47
-6	FALSE	-1.45524703075	0.1512856785044174	8
-5	FALSE	-1.45524703075	0.1512856785044174	137
-4	FALSE	-0.9034229585	0.11794907049176669	216
-3	FALSE	-0.35287796485	0.09800577723370801	291
-2	FALSE	0.386428247361	0.11633229507783863	203
-1	FALSE	0.8363604845	0.13159542480804134	203
0	FALSE	1.28759355025	0.21560861937562523	86
1	FALSE	2.156438445	0.3210397573485745	46
2	FALSE	2.20358004275	0.3933706391686871	9
3	FALSE	2.20358004275	0.3933706391686871	14
