blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-1.671884115	0.1874928875837438	34
-5	FALSE	-1.671884115	0.1874928875837438	464
-4	FALSE	-0.94573536125	0.13184250362510674	913
-3	FALSE	-0.67045274375	0.11418007474227772	1165
-2	FALSE	-0.253082541272	0.12655944627174134	967
-1	FALSE	0.230223335976	0.18458722848799028	741
0	FALSE	2.723199445	0.28053726280718544	389
1	FALSE	3.5597419025	0.3596921122466527	260
2	FALSE	4.484732215	0.6215746896211172	108
3	FALSE	1.3025214867625	0.7091300480781721	63
5	FALSE	0	0	273
