rank	TP	FN	FP	TN	FDR	Power	Sensitivity	model
0.01	1	0	0	0	0	1	0.02829268292682927	1
0.02	1	0	0	0	0	1	0.05658536585365854	1
0.03	1	0	0	0	0	1	0.08487804878048781	1
0.04	1	0	0	0	0	1	0.11317073170731708	1
0.05	1	0	0	0	0	1	0.14146341463414633	1
0.06	1	0	0	0	0	1	0.16975609756097562	1
0.07	1	0	0	0	0	1	0.1980487804878049	1
0.08	1	0	0	0	0	1	0.22658536585365854	1
0.09	1	0	0	0	0	1	0.2548780487804878	1
0.1	1	0	0	0	0	1	0.28317073170731705	1
0.11	1	0	0	0	0	1	0.31146341463414634	1
0.12	1	0	0	0	0	1	0.33975609756097563	1
0.13	1	0	0	0	0	1	0.36804878048780487	1
0.14	1	0	0	0	0	1	0.39634146341463417	1
0.15	1	0	0	0	0	1	0.4246341463414634	1
0.16	1	0	0	0	0	1	0.4531707317073171	1
0.17	1	0	0	0	0	1	0.4814634146341463	1
0.18	1	0	0	0	0	1	0.5097560975609756	1
0.19	1	0	0	0	0	1	0.5380487804878049	1
0.2	1	0	0	0	0	1	0.5663414634146341	1
0.21	1	0	0	0	0	1	0.5946341463414634	1
0.22	1	0	0	0	0	1	0.6229268292682927	1
0.23	1	0	0	0	0	1	0.651219512195122	1
0.24	1	0	0	0	0	1	0.6797560975609757	1
0.25	1	0	0	0	0	1	0.7080487804878048	1
0.26	1	0	0	0	0	1	0.7363414634146341	1
0.27	1	0	0	0	0	1	0.7646341463414634	1
0.28	1	0	0	0	0	1	0.7929268292682927	1
0.29	1	0	0	0	0	1	0.8212195121951219	1
0.3	1	0	0	0	0	1	0.8495121951219512	1
0.31	1	0	0	0	0	1	0.8780487804878049	1
0.32	1	0	0	0	0	1	0.9063414634146342	1
0.33	1	0	0	0	0	1	0.9346341463414635	1
0.34	1	0	0	0	0	1	0.96292682926829265	1
0.35	0.9938484251968503	0	0.006151574803149607	0	0.006151574803149607	1	0.9851219512195122	1
0.36	0.9708133971291866	0	0.029186602870813396	0	0.029186602870813396	1	0.9897560975609756	1
0.37	0.9462290502793296	0	0.05377094972067039	0	0.05377094972067039	1	0.9914634146341463	1
0.38	0.922257479601088	0	0.07774252039891205	0	0.07774252039891205	1	0.9924390243902439	1
0.39	0.8995363214837713	0	0.10046367851622875	0	0.10046367851622875	1	0.9936585365853658	1
0.4	0.8781485468245425	0	0.12185145317545748	0	0.12185145317545748	1	0.9948780487804878	1
0.41	0.856962822936358	0	0.14303717706364208	0	0.14303717706364208	1	0.9951219512195122	1
0.42	0.8371949969243387	0	0.16280500307566126	0	0.16280500307566126	1	0.9958536585365854	1
0.43	0.8183456839575406	0	0.18165431604245943	0	0.18165431604245943	1	0.9965853658536585	1
0.44	0.7997651203758074	0	0.2002348796241926	0	0.2002348796241926	1	0.9965853658536585	1
