blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-1.21904236	0.17739115129976257	31
-5	FALSE	-1.21904236	0.17739115129976257	391
-4	FALSE	-0.882410473	0.12662452238812702	750
-3	FALSE	-0.710754942	0.11326241708972304	966
-2	FALSE	-0.49608306236125	0.13092596734283116	740
-1	FALSE	-0.33473905880025	0.17425362915759204	555
0	FALSE	2.75636982	0.28684910184917	322
1	FALSE	4.447295475	0.4118584106625513	215
2	FALSE	4.3007149975	0.4973275151771095	86
3	FALSE	4.3007149975	0.4973275151771095	47
5	FALSE	0	0	264
