blosum_score	stop	nu_mean	nu_sd
-7	TRUE	0	0
-6	FALSE	0.6091410735	0.05954194752906128
-5	FALSE	0.6091410735	0.05954194752906128
-4	FALSE	0.51900093225	0.04461639643231859
-3	FALSE	0.27731939375	0.03644625651215291
-2	FALSE	-0.24067219075	0.04202266468331269
-1	FALSE	-0.333464428	0.05238509741122958
0	FALSE	-0.7379201975	0.07468141676012392
1	FALSE	-0.81200612475	0.09776371336506924
2	FALSE	-0.94667297775	0.10939070489940794
3	FALSE	-0.94667297775	0.10939070489940794
5	FALSE	0	0
