blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.847782043	0.11979050043859898	33
-5	FALSE	-0.847782043	0.11979050043859898	424
-4	FALSE	-0.4574763315	0.0845285317817564	833
-3	FALSE	-0.45772746375	0.07226119460758806	1051
-2	FALSE	0.1334612678285	0.07779895215725194	858
-1	FALSE	0.151526710952475	0.0966231764804116	665
0	FALSE	1.165957091	0.13444876977112682	350
1	FALSE	1.5322796675	0.15425840913240826	245
2	FALSE	1.6721146705	0.22262478030159855	94
3	FALSE	1.6721146705	0.22262478030159855	56
5	FALSE	0	0	272
