blosum_score	nu_mean	nu_sd	n
-7	0.956530994	0.11605331403298	553
-6	0.141598587205	0.03631846707990674	71
-5	0.141598587205	0.03631846707990674	970
-4	0.141598587205	0.03631846707990674	1894
-3	0.006534780306775	0.03847406583023035	2383
-2	-0.089073092689675	0.04253556106887902	2058
-1	-0.21121613125	0.05035769042218654	1501
0	-0.320055086425	0.07440819170639815	790
1	-0.24635063483	0.07378511817787403	512
2	-0.24635063483	0.07378511817787403	211
3	-0.24635063483	0.07378511817787403	117
5	0	0	553
