fdr	TP	FN	FP	TN	FDR	Power	model
0	0	0.5176704828272772	0	0.48232951717272277	NA	0	1
0.001	0.5055583208893314	0.01211216193794591	0.001991040318566451	0.4803384768541563	0.003922850604772801	0.9766025641025641	1
0.002	0.506885681101709	0.010784801725568276	0.004645760743321719	0.47768375642940103	0.0090820629257217	0.9791666666666666	1
0.003	0.5080471212875394	0.009623361539737847	0.005641280902604944	0.4766882362701178	0.010981912144702842	0.9814102564102564	1
0.004	0.5087108013937283	0.008959681433549029	0.0076323212211713955	0.47469719595155135	0.014781491002570693	0.9826923076923076	1
0.005	0.5088767214202754	0.008793761407001825	0.009125601460096234	0.4732039157126265	0.01761691223574632	0.9830128205128205	1
0.006	0.5092085614733698	0.008461921353907416	0.011448481831757094	0.47088103534096565	0.021988527724665398	0.9836538461538461	1
0.007	0.5100381616061058	0.0076323212211713955	0.012775842044134728	0.46955367512858803	0.024436686766106	0.9852564102564102	1
0.008	0.5100381616061058	0.0076323212211713955	0.014269122283059566	0.46806039488966317	0.027215189873417724	0.9852564102564102	1
0.009000000000000001	0.5102040816326531	0.007466401194624191	0.016094242575078813	0.4662352745976439	0.030580075662042874	0.9855769230769231	1
0.01	0.5103700016592002	0.0073004811680769865	0.01758752281400365	0.4647419943587191	0.03331238214959145	0.9858974358974358	1
0.011	0.5105359216857475	0.007134561141529783	0.018583042973286876	0.4637464741994359	0.035120727500783946	0.9862179487179488	1
0.012	0.5107018417122947	0.006968641114982578	0.02040816326530612	0.4619213539074166	0.03842549203373945	0.9865384615384615	1
0.013000000000000001	0.5107018417122947	0.006968641114982578	0.02156960345113655	0.4607599137215862	0.040523690773067327	0.9865384615384615	1
0.014	0.5111996017919362	0.006470881035340966	0.0233947237431558	0.45893479342956695	0.04376163873370578	0.9874999999999999	1
0.015	0.5111996017919362	0.006470881035340966	0.024722083955533432	0.45760743321718933	0.04613003095975232	0.9874999999999999	1
0.016	0.5113655218184835	0.006304961008793761	0.02538576406172225	0.4569437531110005	0.04729520865533231	0.9878205128205129	1
0.017	0.5115314418450307	0.006139040982246557	0.02654720424755268	0.4557823129251701	0.04933703361085415	0.9881410256410256	1
0.018000000000000002	0.5115314418450307	0.006139040982246557	0.0273768043802887	0.45495271279243404	0.05080049261083744	0.9881410256410256	1
0.019	0.5115314418450307	0.006139040982246557	0.028372324539571926	0.4539571926331508	0.05255070682237246	0.9881410256410256	1
0.02	0.5115314418450307	0.006139040982246557	0.029036004645760744	0.453293512526962	0.053713934929404544	0.9881410256410256	1
0.021	0.5116973618715779	0.005973120955699353	0.030529284884685582	0.4518002322880372	0.05630354957160343	0.9884615384615385	1
0.022	0.5116973618715779	0.005973120955699353	0.03169072507051601	0.45063879210220675	0.0583206106870229	0.9884615384615385	1
0.023	0.5116973618715779	0.005973120955699353	0.031856645097063215	0.45047287207565956	0.05860805860805861	0.9884615384615385	1
0.024	0.5116973618715779	0.005973120955699353	0.03268624522979924	0.44964327194292353	0.06004266991770802	0.9884615384615385	1
0.025	0.5116973618715779	0.005973120955699353	0.03301808528289365	0.4493114318898291	0.0606152908924764	0.9884615384615385	1
0.026000000000000002	0.5116973618715779	0.005973120955699353	0.033847685415629665	0.4484818317570931	0.06204379562043796	0.9884615384615385	1
0.027	0.5116973618715779	0.005973120955699353	0.0353409656545545	0.44698855151816824	0.06460418562329391	0.9884615384615385	1
0.028	0.5116973618715779	0.005973120955699353	0.03633648581383773	0.445993031358885	0.06630336058128973	0.9884615384615385	1
0.029	0.5118632818981251	0.005807200929152149	0.037663846026215364	0.4446656711465074	0.06853864734299515	0.9887820512820513	1
0.03	0.5120292019246723	0.005641280902604944	0.03865936618549859	0.4436701509872242	0.07020186803253993	0.989102564102564	1
0.031	0.5120292019246723	0.005641280902604944	0.038991206238593	0.44333831093412973	0.07076181872929842	0.989102564102564	1
0.032	0.5120292019246723	0.005641280902604944	0.039654886344781815	0.44267463082794095	0.07187969924812031	0.989102564102564	1
0.033	0.5120292019246723	0.005641280902604944	0.04065040650406504	0.4416791106686577	0.07355148604022817	0.989102564102564	1
0.034	0.5126928820308612	0.004977600796416127	0.04148000663680106	0.4408495105359217	0.0748502994011976	0.9903846153846153	1
0.035	0.5126928820308612	0.004977600796416127	0.04247552679608429	0.43985399037663847	0.07650926479378363	0.9903846153846153	1
0.036000000000000004	0.5126928820308612	0.004977600796416127	0.043968807035009126	0.4383607101377136	0.07898658718330849	0.9903846153846153	1
0.037	0.5126928820308612	0.004977600796416127	0.04479840716774515	0.4375311100049776	0.08035714285714285	0.9903846153846153	1
0.038	0.5126928820308612	0.004977600796416127	0.045628007300481166	0.4367015098722416	0.08172362555720654	0.9903846153846153	1
0.039	0.5126928820308612	0.004977600796416127	0.04645760743321719	0.43587190973950557	0.0830860534124629	0.9903846153846153	1
0.04	0.5128588020574083	0.004811680769868923	0.04728720756595321	0.43504230960676954	0.08441943127962087	0.9907051282051282	1
0.041	0.5128588020574083	0.004811680769868923	0.04828272772523644	0.4340467894474863	0.08604376108811354	0.9907051282051282	1
0.042	0.5130247220839556	0.004645760743321719	0.049444167911066865	0.4328853492616559	0.08790560471976401	0.9910256410256411	1
0.043000000000000003	0.5130247220839556	0.004645760743321719	0.04994192799070848	0.43238758918201425	0.0887120542292956	0.9910256410256411	1
0.044	0.5130247220839556	0.004645760743321719	0.0507715281234445	0.4315579890492782	0.09005297233666862	0.9910256410256411	1
0.045	0.5130247220839556	0.004645760743321719	0.05243072838891654	0.4298987887838062	0.09272300469483569	0.9910256410256411	1
0.046	0.5130247220839556	0.004645760743321719	0.05276256844201095	0.4295669487307118	0.09325513196480938	0.9910256410256411	1
0.047	0.5130247220839556	0.004645760743321719	0.05375808860129418	0.42857142857142855	0.09484777517564402	0.9910256410256411	1
0.048	0.5130247220839556	0.004645760743321719	0.05508544881367181	0.42724406835905093	0.0969626168224299	0.9910256410256411	1
0.049	0.5130247220839556	0.004645760743321719	0.05574912891986063	0.4265803882528621	0.09801633605600933	0.9910256410256411	1
0.05	0.5131906421105027	0.0044798407167745144	0.05707648913223826	0.4252530280404845	0.10008728542333431	0.9913461538461538	1
0.051000000000000004	0.5131906421105027	0.0044798407167745144	0.05790608926497428	0.42442342790774845	0.10139453805926786	0.9913461538461538	1
0.052000000000000005	0.5131906421105027	0.0044798407167745144	0.0585697693711631	0.42375974780155967	0.10243760882182242	0.9913461538461538	1
0.053	0.5133565621370499	0.004313920690227311	0.05973120955699353	0.4225983076157292	0.10422698320787493	0.9916666666666667	1
0.054	0.5133565621370499	0.004313920690227311	0.06039488966318235	0.4219346275095404	0.10526315789473686	0.9916666666666667	1
0.055	0.5133565621370499	0.004313920690227311	0.061058569769371164	0.4212709474033516	0.10629693818601964	0.9916666666666667	1
0.056	0.5133565621370499	0.004313920690227311	0.06222000995520159	0.42010950721752116	0.10810031709426347	0.9916666666666667	1
0.057	0.5136884021901443	0.003982080637132902	0.06338145014103203	0.41894806703169074	0.10983323749281197	0.9923076923076923	1
0.058	0.5136884021901443	0.003982080637132902	0.06404513024722083	0.4182843869255019	0.11085582998276852	0.9923076923076923	1
0.059000000000000004	0.5136884021901443	0.003982080637132902	0.06487473037995686	0.4174547867927659	0.11213077143676514	0.9923076923076923	1
0.06	0.5136884021901443	0.003982080637132902	0.0660361705657873	0.41629334660693545	0.11390955924441902	0.9923076923076923	1
0.061	0.5136884021901443	0.003982080637132902	0.06686577069852331	0.4154637464741994	0.11517576450414406	0.9923076923076923	1
0.062	0.5136884021901443	0.003982080637132902	0.06769537083125933	0.4146341463414634	0.11643835616438357	0.9923076923076923	1
0.063	0.5136884021901443	0.003982080637132902	0.06835905093744815	0.4139704662352746	0.11744583808437856	0.9923076923076923	1
0.064	0.5138543222166916	0.0038161606105856978	0.06952049112327859	0.4128090260494442	0.11916951080773606	0.9926282051282053	1
0.065	0.5140202422432387	0.0036502405840384933	0.07051601128256181	0.41181350589016097	0.12063582174283283	0.9929487179487179	1
0.066	0.5140202422432387	0.0036502405840384933	0.07184337149493944	0.4104861456777833	0.12262815066553384	0.9929487179487179	1
0.067	0.5140202422432387	0.0036502405840384933	0.07283889165422266	0.4094906255185001	0.12411648289510886	0.9929487179487179	1
0.068	0.5140202422432387	0.0036502405840384933	0.0746640119462419	0.4076655052264808	0.12683201803833144	0.9929487179487179	1
0.069	0.5140202422432387	0.0036502405840384933	0.07615729218516674	0.406172224987556	0.12904132696092213	0.9929487179487179	1
0.07	0.5140202422432387	0.0036502405840384933	0.07731873237099718	0.4050107848017256	0.13075196408529743	0.9929487179487179	1
0.07100000000000001	0.5140202422432387	0.0036502405840384933	0.07781649245063879	0.40451302472208395	0.13148303896832073	0.9929487179487179	1
0.07200000000000001	0.5140202422432387	0.0036502405840384933	0.07881201260992202	0.4035175045628007	0.1329415057374755	0.9929487179487179	1
0.073	0.5140202422432387	0.0036502405840384933	0.07947569271611084	0.4028538244566119	0.13391109868604978	0.9929487179487179	1
0.074	0.5140202422432387	0.0036502405840384933	0.08063713290194126	0.40169238427078147	0.13560267857142855	0.9929487179487179	1
0.075	0.5140202422432387	0.0036502405840384933	0.08113489298158287	0.4011946241911399	0.13632562029551157	0.9929487179487179	1
0.076	0.5140202422432387	0.0036502405840384933	0.0821304131408661	0.40019910403185666	0.1377678819927637	0.9929487179487179	1
0.077	0.5140202422432387	0.0036502405840384933	0.08296001327360213	0.3993695038991206	0.13896609227348528	0.9929487179487179	1
0.078	0.5140202422432387	0.0036502405840384933	0.08312593330014932	0.39920358387257343	0.13920533481522646	0.9929487179487179	1
0.079	0.5140202422432387	0.0036502405840384933	0.08378961340633814	0.3985399037663846	0.1401609769636414	0.9929487179487179	1
0.08	0.514186162269786	0.003484320557491289	0.08511697361871579	0.397212543554007	0.14202657807308972	0.9932692307692308	1
0.081	0.514186162269786	0.003484320557491289	0.0862784138045462	0.39605110336817656	0.14368610113290964	0.9932692307692308	1
0.082	0.514186162269786	0.003484320557491289	0.08743985399037664	0.3948896631823461	0.1453392167677882	0.9932692307692308	1
0.083	0.514186162269786	0.003484320557491289	0.08793761407001825	0.3943919031027045	0.1460457426288234	0.9932692307692308	1
0.084	0.514186162269786	0.003484320557491289	0.08876721420275427	0.39356230296996847	0.14722069345074298	0.9932692307692308	1
0.085	0.514186162269786	0.003484320557491289	0.08926497428239588	0.3930645428903269	0.14792411328017596	0.9932692307692308	1
0.08600000000000001	0.514186162269786	0.003484320557491289	0.0902604944416791	0.39206902273104366	0.14932747735382926	0.9932692307692308	1
0.08700000000000001	0.5143520822963331	0.003318400530944085	0.09075825452132072	0.391571262651402	0.14998629010145326	0.9935897435897435	1
0.088	0.5143520822963331	0.003318400530944085	0.09158785465405675	0.390741662518666	0.15115005476451263	0.9935897435897435	1
0.089	0.5143520822963331	0.003318400530944085	0.09225153476024556	0.3900779824124772	0.1520787746170678	0.9935897435897435	1
0.09	0.5143520822963331	0.003318400530944085	0.09341297494607599	0.38891654222664673	0.1536991536991537	0.9935897435897435	1
0.091	0.5143520822963331	0.003318400530944085	0.09424257507881201	0.38808694209391076	0.1548527808069793	0.9935897435897435	1
0.092	0.5145180023228804	0.0031524805043968806	0.09507217521154804	0.38725734196117473	0.1559608056614045	0.9939102564102564	1
0.093	0.5146839223494276	0.0029865604778496766	0.09590177534428405	0.3864277418284387	0.15706521739130436	0.9942307692307691	1
0.094	0.5148498423759748	0.002820640451302472	0.0978928156628505	0.38443670150987225	0.15976171134578934	0.9945512820512821	1
0.095	0.5148498423759748	0.002820640451302472	0.09872241579558652	0.3836071013771362	0.1608977825851812	0.9945512820512821	1
0.096	0.515015762402522	0.002654720424755268	0.09971793595486975	0.382611581217853	0.1622132253711201	0.9948717948717949	1
0.097	0.515015762402522	0.002654720424755268	0.10004977600796416	0.3822797411647586	0.16266522794712707	0.9948717948717949	1
0.098	0.515015762402522	0.002654720424755268	0.10087937614070018	0.38145014103202257	0.16379310344827586	0.9948717948717949	1
0.099	0.515015762402522	0.002654720424755268	0.10137713622034179	0.38095238095238093	0.16446837146702556	0.9948717948717949	1
0.1	0.515015762402522	0.002654720424755268	0.10237265637962502	0.3799568607930977	0.16581564095673207	0.9948717948717949	1
0.11	0.515015762402522	0.002654720424755268	0.11116641778662685	0.37116309938609593	0.17753047164811872	0.9948717948717949	1
0.12	0.515015762402522	0.002654720424755268	0.1207897793263647	0.36153973784635807	0.18997912317327767	0.9948717948717949	1
0.13	0.515015762402522	0.002654720424755268	0.1295835407333665	0.35274597643935623	0.201029601029601	0.9948717948717949	1
0.14	0.5151816824290691	0.0024888003982080635	0.13987058237929317	0.3424589347934296	0.2135258358662614	0.9951923076923076	1
0.15	0.5153476024556164	0.0023228803716608595	0.15065538410486146	0.3316741330678613	0.22620827105132038	0.9955128205128205	1
0.16	0.5153476024556164	0.0023228803716608595	0.16160610585697693	0.32072341131574583	0.23872549019607842	0.9955128205128205	1
