blosum_score	nu_mean	nu_sd	n
-7	0.76917889325	0.09976347307777776	553
-6	0.1109212040725	0.0371763217218671	71
-5	0.1109212040725	0.0371763217218671	970
-4	0.1109212040725	0.0371763217218671	1894
-3	0.022017428173555	0.03847393752506272	2383
-2	-0.04247462939343	0.04082266505315594	2058
-1	-0.125652749818	0.051587672721735936	1501
0	-0.220108864855	0.07378429840280054	790
1	-0.42080193075	0.07820540889703628	512
2	-0.42080193075	0.07820540889703628	211
3	-0.42080193075	0.07820540889703628	117
5	0	0	553
