rank	TP	FN	FP	TN	FDR	Power	Sensitivity	model
0.01	1	0	0	0	0	1	0.016926893331387714	1
0.02	1	0	0	0	0	1	0.03385378666277543	1
0.03	1	0	0	0	0	1	0.05078067999416314	1
0.04	1	0	0	0	0	1	0.06770757332555086	1
0.05	1	0	0	0	0	1	0.08463446665693856	1
0.06	1	0	0	0	0	1	0.10156135998832629	1
0.07	1	0	0	0	0	1	0.118488253319714	1
0.08	1	0	0	0	0	1	0.1355610681453378	1
0.09	1	0	0	0	0	1	0.15248796147672553	1
0.1	1	0	0	0	0	1	0.16941485480811325	1
0.11	1	0	0	0	0	1	0.18634174813950094	1
0.12	1	0	0	0	0	1	0.20326864147088866	1
0.13	1	0	0	0	0	1	0.22019553480227638	1
0.14	1	0	0	0	0	1	0.23712242813366408	1
0.15	1	0	0	0	0	1	0.2540493214650518	1
0.16	1	0	0	0	0	1	0.2711221362906756	1
0.17	1	0	0	0	0	1	0.28804902962206336	1
0.18	1	0	0	0	0	1	0.30497592295345105	1
0.19	1	0	0	0	0	1	0.32190281628483874	1
0.2	1	0	0	0	0	1	0.3388297096162265	1
0.21	1	0	0	0	0	1	0.3557566029476142	1
0.22	1	0	0	0	0	1	0.3726834962790019	1
0.23	1	0	0	0	0	1	0.38961038961038963	1
0.24	1	0	0	0	0	1	0.4066832044360134	1
0.25	1	0	0	0	0	1	0.42361009776740116	1
0.26	1	0	0	0	0	1	0.44053699109878885	1
0.27	1	0	0	0	0	1	0.45746388443017655	1
0.28	1	0	0	0	0	1	0.4743907777615643	1
0.29	1	0	0	0	0	1	0.491317671092952	1
0.3	1	0	0	0	0	1	0.5082445644243397	1
0.31	1	0	0	0	0	1	0.5253173792499635	1
0.32	1	0	0	0	0	1	0.5422442725813512	1
0.33	1	0	0	0	0	1	0.559171165912739	1
0.34	1	0	0	0	0	1	0.5760980592441267	1
0.35	1	0	0	0	0	1	0.5930249525755144	1
0.36	1	0	0	0	0	1	0.6099518459069021	1
0.37	1	0	0	0	0	1	0.6268787392382899	1
0.38	1	0	0	0	0	1	0.6438056325696775	1
0.39	1	0	0	0	0	1	0.6608784473953013	1
0.4	1	0	0	0	0	1	0.6778053407266891	1
0.41	1	0	0	0	0	1	0.6947322340580767	1
0.42	1	0	0	0	0	1	0.7116591273894645	1
0.43	1	0	0	0	0	1	0.7285860207208522	1
0.44	1	0	0	0	0	1	0.7455129140522399	1
0.45	1	0	0	0	0	1	0.7624398073836276	1
0.46	1	0	0	0	0	1	0.7793667007150153	1
0.47	1	0	0	0	0	1	0.7964395155406392	1
0.48	1	0	0	0	0	1	0.8133664088720268	1
0.49	1	0	0	0	0	1	0.8302933022034146	1
0.5	1	0	0	0	0	1	0.8472201955348023	1
0.51	1	0	0	0	0	1	0.86414708886619	1
0.52	1	0	0	0	0	1	0.8810739821975777	1
0.53	0.9996750081247969	0	3.2499187520311994e-4	0	3.2499187520311994e-4	1	0.8977090325404932	1
0.54	0.9995216073991389	0	4.783926008611067e-4	0	4.783926008611067e-4	1	0.9146359258718809	1
0.55	0.999373727884766	0	6.262721152340692e-4	0	6.262721152340692e-4	1	0.9314168977090326	1
0.56	0.9983084730124558	0	0.0016915269875442103	0	0.0016915269875442103	1	0.9473223405807676	1
