num_divergent	num_max_treedepth	ebfmi	chain	model
0	0	0.8140007928728522	1	1
0	0	0.7901837625020403	2	1
0	0	0.7924441036018565	3	1
0	0	0.7442597557658654	4	1
0	0	0.8518232572936479	1	2
0	0	0.7711556720737591	2	2
0	0	0.8038179442092616	3	2
0	0	0.7611459591653951	4	2
0	0	0.7239029483587405	1	3
0	0	0.7335242113194043	2	3
0	0	0.7369370604003279	3	3
0	0	0.6820113258406173	4	3
