blosum_score	nu_mean	nu_sd	n
-8	0.105411201976645	0.05206258708516873	2028
-7	0.22145668697	0.09416281677106259	676
-6	0.0201674556730525	0.03742202095167445	68
-5	0.0201674556730525	0.03742202095167445	1123
-4	0.0201674556730525	0.03742202095167445	2374
-3	-0.086868048094275	0.045033701496937695	2752
-2	0.1392197456075	0.048137974906638806	2440
-1	-0.04994751692205	0.05383338899408991	1998
0	-0.18365222309075	0.07994988448304352	1006
1	-0.232189877424	0.0762517781317499	688
2	-0.232189877424	0.0762517781317499	226
3	-0.232189877424	0.0762517781317499	169
5	0	0	676
